Model,Najniža cijena (€),Prodavnica,Link
LAPTOP ACER NITRO 5 AN517-42-R71F NH.QGLEX.002,2259.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-an517-42-r71f-nitro-nhqglex002.html
LAPTOP HP 15S-FQ3009NM 4Q630EA,351.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-15s-fq3009nm-4q630ea.html
LAPTOP ASUS VIVOBOOK X515EA-BQ311,468.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-x515ea-bq311.html
LAPTOP ACER SWIFT 3 SF314-43-R3BC NX.AB1EX.00U,629.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-sf314-43-r3bc.html
LAPTOP ASUS UX582ZW-OLED-H941X I9/32/1T/3070TI/WIN11,3465.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-ux582zw-oled-h941x-i9-32-1t-3070ti-win11_21089.html
LAPTOP ACER ASPIRE A315-58-51D4,432.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-aspire-a315-58-51d4.html
"LAPTOP ASUS ZENBOOK 14"" UM3402YAR-OLED-KM521W R5-7530U/16/512/W11H + DUB D-LINK USB",1089.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-zenbook-14-um3402yar-oled-km521w-r5-7530u-16-512-w11h-dub-d-link-usb.html
LAPTOP ACER SFX14-71G-707H NX.KEVEX.00A,1755.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-sfx14-71g-707h-nxkevex00a.html
LAPTOP ACER NITRO AN17-41-R2LT NH.QL1EX.00D,1512.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-nitro-an17-41-r2lt-nhql1ex00d.html
"LAPTOP HP 15S-EQ2160NM R5-5500 16GB 512, 8C9R2EA",506.7,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-15s-eq2160nm-r5-5500-16gb-512-8c9r2ea.html
LAPTOP HP 15-FC0037NM R3-7320U 8G512 8D6M9EA,468.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-15-fc0037nm-r3-7320u-8g512-8d6m9ea.html
LAPTOP NITRO ACER AN517-55-77SU NITRO NH.QLGEX.00D,1395.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-nitro-acer-an517-55-77su-nitro-nhqlgex00d.html
LAPTOP ACER PREDATOR HELIOS NEO PHN16-72-91PQ NH.QREEX.009,2295.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-predator-helios-neo-phn16-72-91pq-nhqreex009.html
"LAPTOP ASUS E1504FA-NJ319 R5-7520U/16G/512G 15.6""",517.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-e1504fa-nj319-r5-7520u-16g-512g-156.html
LAPTOP ACER EX215-55-57QP NX.EGYEX.00R,567.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-ex215-55-57qp-nxegyex00r.html
LAPTOP ACER A315-44P-R450 NX.KSJEX.014+TORBA,469.8,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a315-44p-r450-nxksjex014torba.html
LAPTOP ASUS X1505VA-MA437 OLED I713-700H/16G/512G,846.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-x1505va-ma437-oled-i713-700h-16g-512g.html
LAPTOP ACER PREDATOR PH16-72-90D0 NH.QRAEX.004,3510.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-predator-ph16-72-90d0-nhqraex004.html
LAPTOP LENOVO V15-AMN G4 R3-7320U 8GB/256GB/DOS/3Y 82YU00YWYA,359.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-v15-amn-g4-r3-7320u-8gb-256gb-dos-3y-82yu00ywya.html
"LAPTOP LENOVO LOQ 15IAX9I GREY 15.6"" IPS 144HZ I5/16GB/1TB",846.9,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-loq-15iax9i-grey-156-ips-144hz-i5-16gb-1tb.html
"LAPTOP ASUS M5406NA-QD080 OLED R5-7535HS/16G/512 14""",841.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-m5406na-qd080-oled-r5-7535hs-16g-512-14.html
LAPTOP ASUS ROG ZEPHYRUS G16 GU605MI-QR153W,2934.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-rog-zephyrus-g16-gu605mi-qr153w.html
LAPTOP HP 15S-FQ5065NM I5-1235U/16GB/512GB 8C9E7EA,607.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-15s-fq5065nm-i5-1235u-16gb-512gb-8c9e7ea.html
LAPTOP HP 15-FC0095NM R7-7730U/16GB/512GB A74SPEA,733.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-15-fc0095nm-r7-7730u-16gb-512gb-a74spea.html
LAPTOP HP 14S-DQ5032NM I3-1215U/8G256 A8KM8EA,400.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-14s-dq5032nm-i3-1215u-8g256-a8km8ea.html
"LAPTOP ACER 15.6"" EX215-55-3819 I3-1215U/8GB/512GB",339.21,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-156-ex215-55-3819-i3-1215u-8gb-512gb.html
LAPTOP LENOVO IDEAPAD 1 15IGL7 15.6' INTEL CELERON N4020/8GB/256GB PLAVI,283.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-1-15igl7-156-intel-celeron-n4020-8gb-256gb-sivi.html
LAPTOP ACER PHN16-71-70LL NH.QLVEX.00R,1800.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-phn16-71-70ll-nhqlvex00r.html
LAPTOP ASUS TUF GAMING A15 FA507UV-LP111 R9-8945H/16G/1TB/RTX4060,1593.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-tuf-gaming-a15-fa507uv-lp111-r9-8945h-16g-1tb-rtx4060.html
LAPTOP ASUS ROG STRIX G16 G614JU-N3136,1566.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-rog-strix-g16-g614ju-n3136.html
LAPTOP LENOVO IDEAPAD 1 15ALC7 SIVA 15.6' RYZEN5 5500U/8GB/512GB/RADEON GRAPH,450.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-1-15alc7-siva-156-ryzen5-5500u-16gb-512gb-radeon-graph.html
LAPTOP ACER AN517-55-56BE NITRO NH.QLGEX.00B,1305.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-an517-55-56be-nitro-nhqlgex00b.html
LAPTOP ASUS N6506MV-MA043W,1953.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-n6506mv-ma043w.html
MACBOOK PRO 14 APPLE SILVER/M4 PRO/12C/16C GPU/24GB/512GB MX2E3ZE/A,2701.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-pro-14-apple-silver-m4-pro-12c-16c-gpu-24gb-512gb-mx2e3ze-a.html
LAPTOP ASUS 15.6' X1504VA-NJ1144 I3-1315U/16GB/512GB,522.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-156-x1504va-nj1144-i3-1315u-16gb-512gb.html
LAPTOP ACER EX215-23-R2TV NX.EH3EX.013,526.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-acer-ex215-23-r2tv-nxeh3ex013.html
"LAPTOP LENOVO IDEAPAD SLIM 3 16ABR8 16"" IPS RYZEN 7 7730U/16GB/512GB/RADEON GRAPHICS",558.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-slim-3-16abr8-16-ips-ryzen-7-7730u-16gb-512gb-radeon-graphics.html
LAPTOP HP 455 G10 R5-7530I 8GB/512GB/854S1ES#BED,648.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-hp-455-g10-r5-7530i-8gb-512gb-854s1esbed.html
LAPTOP HP 250 G9 I3-1215U 8GB/512/9M3H9AT,400.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-hp-250-g9-i3-1215u-8gb-512-9m3h9at.html
LAPTOP DELL VOSTRO 3520 15.6' FHD 120HZ I3-1215U/16GB/512GB NOT22726/NOT24749,414.31,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-3520-156-fhd-120hz-i3-1215u-16gb-512gb-not22726.html
LAPTOP ASUS TUF GAMING FA707NUR-HX002,1381.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-asus-tuf-gaming-fa707nur-hx002.html
LAPTOP LENOVO IDEAPAD 1 15IGL7 15.6' CELERON N4500/8GB DDR4/512GB M.2/UHD GRAPHICS 600 GREY,305.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-lenovo-ideapad-1-15igl7-156-celeron-n4500-8gb-ddr4-512gb-m2-uhd-graphics-600-grey.html
LAPTOP ACER A315-59--76ZH NX.K6SEX.01P+TORBA MS NOTE D100,610.94,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a315-59-76zh-nxk6sex01ptorba-ms-note-d100.html
LAPTOP LENOVO IDEAPAD  15AMN7 R3-7320U/8GB-DDR5/512GB,315.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-15amn7-r3-7320u-16gb-ddr5-512gb_45532.html
LAPTOP LENOVO IDEAPAD  15IAN8 I3-N305/8GB-DDR5/512GB SILVER,346.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-15ian8-i3-n305-8gb-ddr5-512gb.html
LAPTOP DELL VOSTRO 3530 15.6' FHD 120HZ I3-1305U/16GB/256GB NOT23621,409.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-3530-156-fhd-120hz-i3-1305u-16gb-256gb-not23621.html
LAPTOP GIGABYTE G6X 9KG 16' FHD 165HZ I7-13650HX/16GB/1TB SSD/RTX 4060 8GB NOT23500,1281.75,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-g6x-9kg-16-fhd-165hz-i7-13650hx-16gb-1tb-ssd-rtx-4060-8gb-not23500.html
LAPTOP HP 255 G10 R3-7330U/8GB/512GB/7N0C5ES,468.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-255-g10-r3-7330u-8gb-512gb-7n0c5es.html
LAPTOP HP NOT250 G9 I5/16GB/512GB/9M3J5AT#BED,522.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-not250-g9-i5-16gb-512gb-9m3j5atbed.html
LAPTOP LENOVO IDEAPAD SLIM 3 15IAH8 16' I5-12450H/16GB DDR5/1TB M.2/UHD GRAPHICS SIVA,599.4,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-slim-3-15iah8-16-i5-12450h-16gb-ddr5-1tb-m2-uhd-graphics-siva.html
LAPTOP ACER ANV15-41-R1V2 NH.QSFEX.00E,1282.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-anv15-41-r1v2-nhqsfex00e.html
"LAPTOP ASUS 15.6"" E1504FA-NJ318 5-7520U/16GB/512GB",522.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-156-e1504fa-nj318-5-7520u-16gb-512gb.html
"LAPTOP ASUS VIVOBOOK GO E1504FA-NJ935 AMD RYZEN 3 7320U/8GB/512GB/15.6""",418.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-go-e1504fa-nj935-amd-ryzen-3-7320u-8gb-512gb-156.html
"LAPTOP RACUNAR LENOVO IDEAPAD 15IGL7 15.6"" INTEL CELERON 4500/8GB/256GB/INTEL UHD",270.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-racunar-lenovo-ideapad-15igl7-156-intel-celeron-4500-8gb-256gb-intel-uhd.html
LAPTOP ASUS TUF GAMING F15 FA506NFR-HN010,963.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-tuf-gaming-f15-fa506nfr-hn010.html
LAPTOP HP NOT250 G10 I3-1315U 16GB/512GB/AK9P4AT,405.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-not250-g10-i3-1315u-16gb-512gb-ak9p4at.html
LAPTOP HP NOT255 G10 R5-7530U/16GB/512GB/AK9N8AT,524.12,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-not255-g10-r5-7530u-16gb-512gb-ak9n8at.html
LAPTOP HP NOT255 G9 R5-5625U/8GB/512GB/969C3ET,422.47,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-not255-g9-r5-5625u-8gb-512gb-969c3et.html
LAPTOP ASUS VIVOBOOK FLIP TN3402YA-LZ392,783.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-flip-tn3402ya-lz392.html
LAPTOP DELL INSPIRON 3535 15.6' FHD 120HZ /AMD RYZEN 5 7520U/8GB/512GB NOT24242,463.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-inspiron-3535-156-fhd-120hz-amd-ryzen-5-7520u-8gb-512gb-not24242.html
LAPTOP LENOVO IDEAPAD 1 15ALC7 R5-5500U/16GB/512GB CLOUD GREY,427.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-1-15alc7-r5-5500u-16gb-512gb-cloud-grey.html
LAPTOP ASUS VIVOBOOK M1502YA-BQ018 90NB0X21-M00DX0,729.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-m1502ya-bq018-90nb0x21-m00dx0.html
LAPTOP ASUS VIVOBOOK S M5606WA-MX075,1305.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-s-m5606wa-mx075.html
LAPTOP HP PROBOOK 450 G10 AK9R0AT,657.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-probook-450-g10-ak9r0at.html
LAPTOP ASUS VIVOBOOK S S5406SA-QD040X,1620.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-s-s5406sa-qd040x.html
LAPTOP HP VICTUS GAMING 15-FA1010NM 8C9P8EA,990.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-victus-gaming-15-fa1010nm-8c9p8ea.html
"LAPTOP LENOVO IDEAPAD 1 15IJL7 15.6"" FHD, CELERON N4500 2.8GHZ/8GB DDR4/ 256GB/UHD 600 CLOUD GREY",288.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-1-15ijl7-156-fhd-celeron-n4500-28ghz-8gb-ddr4-256gb-uhd-600-cloud-grey.html
"LAPTOP LENOVO IDEAPAD 1 15ALC7 15.6"" FHD,IPS, RYZEN 5 5500U,16GB DDR4, 512GB,RADEON GRAPHICS SAND",427.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-1-15alc7-156-fhdips-ryzen-5-5500u16gb-ddr4-512gbradeon-graphics-sand.html
MACBOOK AIR 13.6 APPLE STARLIGHT/M4/8C GPU/16GB/256GB-ZEE MW0Y3ZE/A,1299.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-air-136-apple-starlight-m4-8c-gpu-16gb-256gb-mw0y3ze-a.html
"LAPTOP ACER ASPIRE GO 15 15.3"" WUXGA IPS I7-1355U/16GB/1TB CRNI NOT24614",749.63,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-aspire-go-15-153-wuxga-ips-i7-1355u-16gb-1tb-crni-not24614.html
MACBOOK PRO 14 APPLE SILVER/M4/10C/10C GPU/16GB/1TB MW2X3ZE/A,2385.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/macbook-pro-14-apple-silver-m4-10c-10c-gpu-16gb-1tb-mw2x3ze-a.html
LAPTOP HP PROBOOK 455 G10 R5-7530/15GB/512GB AK9Q3AT,585.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-probook-455-g10-r5-7530-15gb-512gb-ak9q3at.html
LAPTOP ACER AL16-52P-57CR NX.J5SEX.022,499.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-al16-52p-57cr-nxj5sex022.html
LAPTOP LENOVO V15 G4 I3-1315U/16GB/512GB/YU 83A1006XYA,405.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-v15-g4-i3-1315u-16gb-512gb-yu-83a1006xya.html
LAPTOP LENOVO THINKBOOK 16 G6 ABP 21KK008PYA,666.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-thinkbook-16-g6-abp-21kk008pya.html
LAPTOP LENOVO V15 G4 IRU I5-13420H/16GB/512GB/YU/3Y 83A100ABY,535.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-v15-g4-iru-i5-13420h-16gb-512gb-yu-3y-83a100aby.html
LAPTOP LENOVO TB 16 IRL G6 I5-13420H/16GB/512GB/DOS/3Y 21 KH00T5YA,666.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-tb-16-irl-g6-i5-13420h-16gb-512gb-dos-3y-21-kh00t5ya.html
LAPTOP LENOVO IDEAPAD SLIM 3 15ABR8 R7-7730U/16GB/512GB 82XM00LAYA GREY,499.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-slim-3-15abr8-r7-7730u-16gb-512gb-82xm00laya-grey.html
LAPTOP ASUS X1504ZA-NJ847 I3-1215U/8GB/512GB/WIFI 6E/BT PLAVA 90NB1021-M016X0,427.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-x1504za-nj847-i3-1215u-8gb-512gb-wifi-6e-bt-plava-90nb1021-m016x0.html
"LAPTOP LENOVO IDEAPAD SLIM 3 15IAH8 ABYSS BLUE 15.6"" I5-12450H/8GB/512GB/UHD",450.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-slim-3-15iah8-abyss-blue-156-i5-12450h-8gb-512gb-uhd.html
LAPTOP ASUS ROG STRIX G713PI-LL116W W11H,2430.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-rog-strix-g713pi-ll116w-w11h.html
"LAPTOP LENOVO IDEAPAD  SLIM 5 14IRH10 LUNA GREY 14"" I5-13420H/32GB/1TB/UHD",765.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-lenovo-ideapad-slim-5-14irh10-luna-grey-14-i5-13420h-32gb-1tb-uhd.html
"LAPTOP ASUS X1504ZA-NJ1080 I3-1215U/16GB/512GB 15.6""",468.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-x1504za-nj1080-i3-1215u-16gb-512gb-156.html
GIGABYTE G5 MF5 15.6 inch FHD 144Hz i7-13620H 16GB 1TB SSD GeForce RTX 4050 6GB Backlit gaming laptop,1362.93,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/g5-mf5-156-inch-fhd-144hz-i7-13620h-16gb-1tb-ssd-geforce-rtx-4050-6gb-backlit-gaming-laptop.html
ACER Nitro 5 AN515 15.6 inča FHD IPS 144Hz Ryzen 7 6800H 16GB 512GB SSD GeForce RTX 3060 laptop + Postolje i hladnjak + MIŠ + RUKSAK,1566.59,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/nitro-5-an515-156-inca-fhd-ips-144hz-ryzen-7-6800h-16gb-512gb-ssd-geforce-rtx-3060-laptop-postolje-i-hladnjak-mis-ruksak.html
DELL Latitude 3450 14 inch FHD i5-1335U 8GB 512GB SSD Backlit FP Ubuntu 3yr ProSupport laptop,1174.94,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/latitude-3450-14-inch-fhd-i5-1335u-8gb-512gb-ssd-backlit-fp-ubuntu-3yr-prosupport-laptop.html
DELL Vostro 3440 14 inch FHD+ i5-1334U 16GB 512GB SSD Intel Iris Xe Backlit laptop,705.4,PC-Gamer,https://pc-gamer.me/p/DELL-Vostro-3440-14-inch-FHD-i5-1334U-16GB-512GB-SSD-Intel-Iris-Xe-Backlit-laptop--106478
DELL Vostro 3520 15.6 inch FHD 120Hz i3-1215U 8GB 512GB SSD + torba + mis,452.74,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-vostro-3520-156-inch-fhd-120hz-i3-1215u-8gb-512gb-ssd-torba-mis-.html
"ACER Nitro V 15 ANV15-41-R8SD 15.6 inča FHD Ryzen 5 6600H, 16GB,  512GB SSD GeForce RTX 3050 crni",1088.78,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/acer-nitro-v-15-anv15-41-r8sd-156-inca-fhd-ryzen-5-6600h-16gb-512gb-ssd-geforce-rtx-3050-crni-.html
GIGABYTE A16 CMH 16 inch FHD+ 165Hz 300nits i5-13420H 16GB 512GB SSD GeForce RTX 4050 6GB Backlit gaming laptop,1095.04,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/gigabyte-a16-cmh-16-inch-fhd-165hz-300nits-i5-13420h-16gb-512gb-ssd-geforce-rtx-4050-6gb-backlit-gaming-laptop-.html
DELL G16 7630 16 inch QHD+ 240Hz 300nits i7-13650HX 32GB 1TB SSD GeForce RTX 4060 8GB gaming laptop,2224.55,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/g16-7630-16-inch-qhd-240hz-300nits-i7-13650hx-32gb-1tb-ssd-geforce-rtx-4060-8gb-gaming-laptop.html
Laptop Lenovo IdeaPad 15IJL7 Celeron N4500/8/256GB 82LX00BFYA,290.4,Tehnoplus,https://tehnoplus.me/artikli/laptop-lenovo-ideapad-15ijl7-celeron-n4500-8-256gb-82lx00bfya/
Laptop Acer Aspire Lite 14 AL14-31P-30K1 14'' i3-N300 8/512GB SSD (NX.KS9EX.002),328.0,Tehnoplus,https://tehnoplus.me/artikli/laptop-acer-aspire-lite-14-al14-31p-30k1-14-i3-n300-8-512gb-ssd-nx-ks9ex-002/
"Laptop HP 15-fd0047m i3-N305 8/256GB SSD/15.6"" FHD/Intel/UHD A03H5EA",391.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fd0047m-i3-n305-8-256gb-ssd-15-6-fhd-intel-uhd-a03h5ea/
"Laptop DELL Vostro 3520 15.6"" i3-1215U 8/512GB SSD +torba+miš (NOT24818)/",392.0,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3520-15-6-i3-1215u-8-512gb-ssd-torba-mis-not24818/
"Laptop Dell Vostro 3530 SSD 15.6"" FHD 120Hz/ i3 1305U/8/256GB 210-BGLW-004",407.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-ssd-15-6-fhd-120hz-i3-1305u-8-256gb-210-bglw-004/
"Laptop HP 250 G10 i3-1315u/8/256/15.6"" FHD 8A5C9EA",407.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-250-g10-i3-1315u-8-256-15-6-fhd-8a5c9ea/
"Laptop Acer Extensa 15 EX215-55-3819 15.6"" i3-1215U 8/512GB SSD (NOT24637)",420.0,Tehnoplus,https://tehnoplus.me/artikli/laptop-acer-extensa-15-ex215-55-3819-15-6-i3-1215u-8-512gb-ssd-not24637/
"Laptop DELL OEM Vostro 3520 15.6"" i3-1215U 16/512GB SSD (NOT24749)/",427.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-oem-vostro-3520-15-6-i3-1215u-16-512gb-ssd-not24749/
"Laptop HP 250 G10 i3-1315u 15.6"" FHD 16/512GB SSD (AK9P4AT)",431.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-250-g10-i3-1315u-15-6-fhd-16-512gb-ssd-ak9p4at/
Laptop DELL Vostro 3530 15.6'' i3-1305U 8/512GB SSD (NOT22366)/,436.0,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i3-1305u-8-512gb-ssd-not22366/
"Laptop Dell Vostro 3520 i3-1215u 8GB/512GB 15.6"" FHD/Intel/UHD 210-BECX-001",439.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3520-i3-1215u-8gb-512gb-15-6-fhd-intel-uhd-210-becx-001/
Laptop HP 250 G9 i3-1215u/8/512GB SSD 6S775EA,447.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-250-g9-i3-1215u-8-512gb-ssd-6s775ea/
Laptop HP 15-fd0091nm Intel i3 N305/8/512 A74SQEA,463.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fd0091nm-intel-i3-n305-8-512-a74sqea/
Laptop HP 15-fd0042nm 15.6'' i3-N305 8/512GB SSD (A05S8EA),470.4,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fd0042nm-15-6-i3-n305-8-512gb-ssd-a05s8ea/
Laptop HP 15-fc0088nm Ryzen 3 7320U/8/512 A74SMEA,479.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fc0088nm-ryzen-3-7320u-8-512-a74smea/
Laptop HP 15-fc0087nm A74SLEA Ryzen 3 7320U/8/512/FHD,479.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fc0087nm-a74slea-ryzen-3-7320u-8-512-fhd/
Laptop HP 15-fc0086nm Ryzen 3 7320U/8/512GB/IPS/15.6'' A74SKEA#BED,479.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fc0086nm-ryzen-3-7320u-8-512gb-ips-15-6-a74skeabed/
Laptop HP 15-fc0038nm FHD 15.6'' AMD Ryzen3 7320U/8/512GB SSD 8D073EA,487.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fc0038nm-fhd-15-6-amd-ryzen3-7320u-8-512gb-ssd-8d073ea/
"Laptop HP 250 G9 15.6"" FHD i5-1235U 12/512GB SSD (9M3J2AT)",495.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-250-g9-15-6-fhd-i5-1235u-12-512gb-ssd-9m3j2at/
"Laptop Asus Vivobook 15 X1504ZA-NJ1080 15,6"" i3-1215U 16/512GB SSD",503.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-vivobook-15-x1504za-nj1080-15-6-i3-1215u-16-512gb-ssd/
